age,educational-num,marital-status,race,gender,hours-per-week,income
25,7,Never-married,Black,Male,40,<=50K
38,9,Married-civ-spouse,White,Male,50,<=50K
28,12,Married-civ-spouse,White,Male,40,>50K
44,10,Married-civ-spouse,Black,Male,40,>50K
18,10,Never-married,White,Female,30,<=50K
34,6,Never-married,White,Male,30,<=50K
29,9,Never-married,Black,Male,40,<=50K
63,15,Married-civ-spouse,White,Male,32,>50K
24,10,Never-married,White,Female,40,<=50K
55,4,Married-civ-spouse,White,Male,10,<=50K
65,9,Married-civ-spouse,White,Male,40,>50K
36,13,Married-civ-spouse,White,Male,40,<=50K
26,9,Never-married,White,Female,39,<=50K
58,9,Married-civ-spouse,White,Male,35,<=50K
48,9,Married-civ-spouse,White,Male,48,>50K
43,14,Married-civ-spouse,White,Male,50,>50K
20,10,Never-married,White,Male,25,<=50K
43,9,Married-civ-spouse,White,Female,30,<=50K
37,9,Widowed,White,Female,20,<=50K
40,16,Married-civ-spouse,Asian-Pac-Islander,Male,45,>50K
34,13,Married-civ-spouse,White,Male,47,>50K
34,10,Never-married,Black,Female,35,<=50K
72,4,Divorced,White,Female,6,<=50K
25,13,Never-married,White,Male,43,<=50K
25,13,Married-civ-spouse,White,Male,40,<=50K
45,9,Married-civ-spouse,White,Male,90,>50K
22,9,Never-married,White,Male,20,<=50K
23,9,Separated,Black,Male,54,<=50K
54,9,Married-civ-spouse,White,Male,35,<=50K
32,10,Never-married,White,Male,60,<=50K
46,10,Married-civ-spouse,Black,Male,38,>50K
56,7,Widowed,White,Female,50,<=50K
24,13,Never-married,White,Male,50,<=50K
23,10,Married-civ-spouse,White,Male,40,<=50K
26,9,Divorced,White,Female,40,<=50K
65,9,Married-civ-spouse,White,Male,40,<=50K
36,13,Married-civ-spouse,White,Male,40,>50K
22,3,Never-married,White,Male,50,<=50K
17,6,Never-married,White,Male,40,<=50K
20,9,Never-married,White,Male,40,<=50K
65,14,Married-civ-spouse,White,Male,50,>50K
44,11,Married-civ-spouse,White,Male,45,>50K
36,9,Married-civ-spouse,White,Male,40,<=50K
29,7,Married-civ-spouse,White,Male,40,<=50K
20,10,Never-married,White,Male,32,<=50K
28,11,Married-civ-spouse,White,Female,36,>50K
39,4,Married-civ-spouse,White,Male,40,<=50K
54,10,Married-civ-spouse,White,Male,50,<=50K
52,7,Separated,Black,Female,18,<=50K
56,9,Widowed,White,Female,50,<=50K
18,10,Never-married,White,Male,20,<=50K
39,9,Divorced,Black,Male,40,<=50K
21,10,Never-married,White,Female,24,<=50K
22,9,Never-married,White,Male,60,>50K
38,5,Married-spouse-absent,White,Male,54,<=50K
21,10,Never-married,White,Female,40,<=50K
63,9,Married-civ-spouse,White,Male,40,<=50K
34,13,Married-civ-spouse,White,Male,50,>50K
42,9,Married-civ-spouse,White,Male,50,>50K
33,9,Married-civ-spouse,White,Male,40,<=50K
30,13,Never-married,White,Female,50,<=50K
39,10,Divorced,White,Male,40,<=50K
26,14,Never-married,White,Female,40,<=50K
33,9,Never-married,White,Female,40,<=50K
47,9,Divorced,White,Female,40,<=50K
41,13,Never-married,White,Female,40,<=50K
41,12,Married-civ-spouse,White,Male,60,>50K
19,10,Never-married,White,Male,20,<=50K
46,9,Separated,White,Male,40,<=50K
43,9,Married-civ-spouse,White,Male,48,<=50K
55,10,Married-civ-spouse,White,Male,45,>50K
46,11,Married-civ-spouse,White,Male,40,<=50K
30,9,Married-civ-spouse,White,Male,40,<=50K
21,10,Separated,White,Female,40,<=50K
46,10,Married-civ-spouse,Other,Male,40,<=50K
17,6,Never-married,White,Male,40,<=50K
41,9,Married-civ-spouse,White,Male,50,<=50K
69,9,Married-civ-spouse,White,Male,30,<=50K
50,9,Married-civ-spouse,White,Male,40,<=50K
20,10,Never-married,White,Female,40,<=50K
45,10,Married-civ-spouse,White,Male,50,<=50K
23,13,Never-married,White,Male,40,<=50K
24,10,Separated,White,Male,40,<=50K
44,9,Married-civ-spouse,White,Male,50,>50K
31,10,Married-civ-spouse,White,Male,50,<=50K
43,9,Separated,White,Female,44,<=50K
20,7,Never-married,White,Female,10,<=50K
55,9,Married-civ-spouse,White,Male,56,>50K
24,10,Never-married,White,Male,40,<=50K
41,14,Married-civ-spouse,White,Female,10,>50K
59,13,Never-married,White,Female,25,<=50K
49,4,Never-married,Black,Male,20,<=50K
33,14,Married-civ-spouse,White,Female,10,>50K
59,13,Divorced,White,Male,40,<=50K
34,14,Never-married,Amer-Indian-Eskimo,Male,40,<=50K
20,9,Never-married,White,Male,40,<=50K
25,13,Never-married,White,Female,40,<=50K
49,6,Married-civ-spouse,White,Male,40,<=50K
59,9,Married-civ-spouse,White,Male,40,>50K
20,9,Never-married,White,Female,40,<=50K
51,10,Married-civ-spouse,White,Female,18,<=50K
33,10,Never-married,Black,Female,35,<=50K
22,10,Never-married,Black,Male,39,<=50K
58,5,Widowed,White,Female,40,<=50K
52,9,Widowed,White,Female,28,<=50K
36,6,Separated,White,Female,40,<=50K
41,9,Married-civ-spouse,White,Male,40,<=50K
28,9,Never-married,White,Male,40,<=50K
19,10,Never-married,Black,Male,16,<=50K
18,9,Never-married,White,Female,28,<=50K
18,9,Never-married,White,Female,48,<=50K
28,10,Married-civ-spouse,White,Male,40,<=50K
29,11,Married-civ-spouse,White,Male,40,>50K
20,9,Never-married,White,Female,20,<=50K
40,10,Married-civ-spouse,White,Male,40,<=50K
26,9,Never-married,White,Male,40,<=50K
